A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId
7137,7,A80+,255,395,70,49,4224,4235.5,1159.5,525.4,1089
7138,7,A00-A04,219,202,0,0,4754.7,4576.3,0,0,1090
7138,7,A05-A14,656,656,0,0,7511.7,8003.9,0,0,1091
7138,7,A15-A34,1704,1607,0,1,8293.2,8477.5,0,5.3,1092
7138,7,A35-A59,1876,1984,7,2,6088.5,6318.7,22.7,6.4,1093
6412,6,A35-A59,11453,10685,44,16,7995.8,7761.7,30.7,11.6,1094
6412,6,A60-A79,3196,2795,208,108,5496.6,4314.5,357.7,166.7,1095
6412,6,A80+,878,1527,251,272,6301.6,6684.5,1801.5,1190.7,1096
7338,7,A60-A79,612,680,26,14,3562.3,3622.8,151.3,74.6,1097
6413,6,A00-A04,172,176,0,0,4412.5,4833.8,0,0,1098
7338,7,A80+,279,579,76,106,5829.5,8603.3,1588,1575,1099
7317,7,A05-A14,88,83,0,0,4861.9,5107.7,0,0,1100
7233,7,A80+,78,142,24,16,3865.2,4922,1189.3,554.6,1101
6413,6,A05-A14,803,786,0,0,12075.2,12277.4,0,0,1102
7339,7,A00-A04,208,196,0,0,3984.7,4050.4,0,0,1103
7317,7,A15-A34,273,274,0,0,5960.7,6634.4,0,0,1104
7235,7,A00-A04,133,126,0,0,3724.4,3700.4,0,0,1105
6413,6,A15-A34,2180,2268,3,0,12028.2,12779.6,16.6,0,1106
7339,7,A05-A14,611,554,0,0,5761.4,5584.1,0,0,1107
7317,7,A35-A59,329,322,2,0,5152.7,5101.4,31.3,0,1108
7235,7,A05-A14,371,320,0,0,5033.2,4557.8,0,0,1109
6413,6,A35-A59,2452,2520,8,6,10495.7,11320.2,34.2,27,1110
7339,7,A15-A34,1459,1330,1,0,6625.5,6494.1,4.5,0,1111
7317,7,A60-A79,152,159,15,7,3224.4,3067.1,318.2,135,1112
7235,7,A15-A34,914,817,0,0,5664.4,5453.2,0,0,1113
6413,6,A60-A79,735,672,52,27,7032.8,5749,497.6,231,1114
7339,7,A35-A59,1912,1922,6,5,5036.4,4917.5,15.8,12.8,1115
7317,7,A80+,50,130,15,25,3796.5,5513.1,1139,1060.2,1116
7235,7,A35-A59,1222,1179,4,1,4469,4312.5,14.6,3.7,1117
6413,6,A80+,179,298,53,60,6943.4,7287.8,2055.9,1467.4,1118
7339,7,A60-A79,628,635,29,22,2723.1,2567.1,125.7,88.9,1119
7318,7,A00-A04,69,62,0,0,5735.7,5746.1,0,0,1120
