bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
9,9461,4,9,3,1,13,40,19.12.21 12:15,28,5,11,19
9,9462,7,10,8,2,6,55,19.12.21 12:15,50,3,"17,6666666666667",22
9,9463,3,6,6,1,14,29,19.12.21 12:15,24,10,"11,3333333333333",24
9,9464,3,5,0,1,7,25,19.12.21 12:15,24,2,"8,66666666666667",24
9,9471,2,1,0,2,8,8,19.12.21 12:15,8,8,"5,33333333333333",19
9,9472,1,0,0,1,3,3,19.12.21 12:15,3,3,2,23
9,9473,,,,,,,,,,,23
9,9474,2,1,0,2,6,8,19.12.21 12:15,8,6,"4,66666666666667",21
9,9475,2,2,2,2,7,7,19.12.21 12:15,7,7,"4,66666666666667",26
9,9476,1,6,4,1,3,11,19.12.21 12:15,11,3,"4,66666666666667",25
9,9477,1,4,1,1,3,24,19.12.21 12:15,24,3,9,24
9,9478,3,4,4,3,4,34,19.12.21 12:15,34,4,"12,6666666666667",23
9,9479,2,2,0,2,9,9,19.12.21 12:15,9,9,6,26
9,9561,2,4,0,2,6,19,19.12.21 12:15,19,6,"8,33333333333333",21
9,9562,5,33,27,3,13,105,19.12.21 12:15,90,12,34,18
9,9563,3,11,5,1,7,40,19.12.21 12:15,36,2,"12,6666666666667",18
9,9564,12,49,34,6,30,161,19.12.21 12:15,137,16,51,20
9,9565,1,2,2,1,1,4,19.12.21 12:15,4,1,"1,66666666666667",22
9,9571,3,2,2,3,5,18,19.12.21 12:15,18,5,"7,66666666666667",20
9,9572,1,4,2,1,0,5,19.12.21 12:15,5,0,"1,66666666666667",21
9,9573,,,,,,,,,,,23
9,9574,3,8,6,3,0,16,19.12.21 12:15,16,0,"5,33333333333333",22
9,9575,2,2,1,2,2,34,19.12.21 12:15,34,2,12,21
9,9576,1,1,0,1,1,5,19.12.21 12:15,5,1,2,21
9,9577,2,4,3,2,7,9,19.12.21 12:15,9,7,"5,33333333333333",22
9,9661,3,11,5,1,6,48,19.12.21 12:15,38,4,14,21
9,9662,4,16,9,2,2,62,19.12.21 12:15,51,0,17,24
9,9663,5,17,13,3,35,93,19.12.21 12:15,93,31,"41,3333333333333",20
9,9671,1,3,1,1,3,4,19.12.21 12:15,4,3,"2,33333333333333",22
9,9672,4,6,2,4,2,30,19.12.21 12:15,30,2,"10,6666666666667",25
9,9673,1,28,12,1,13,125,19.12.21 12:15,125,13,46,23
9,9674,2,0,0,2,2,4,19.12.21 12:15,4,2,2,21
9,9675,1,1,1,1,1,6,19.12.21 12:15,6,1,"2,33333333333333",21
9,9676,1,3,2,1,0,10,19.12.21 12:15,10,0,"3,33333333333333",22
9,9677,1,4,4,1,2,5,19.12.21 12:15,5,2,"2,33333333333333",23
9,9678,2,2,1,2,0,6,19.12.21 12:15,6,0,2,22
9,9679,1,0,0,1,0,9,19.12.21 12:15,9,0,3,22
9,9761,6,27,10,3,9,128,19.12.21 12:15,86,3,"29,6666666666667",19
9,9762,1,5,3,1,6,16,19.12.21 12:15,16,6,"7,33333333333333",23
9,9763,3,8,5,1,10,34,19.12.21 12:15,22,4,"8,66666666666667",22
9,9764,3,8,5,1,3,25,19.12.21 12:15,18,2,"6,66666666666667",22
9,9771,2,5,3,2,1,14,19.12.21 12:15,14,1,5,20
9,9772,2,3,3,2,3,9,19.12.21 12:15,9,3,4,21
9,9773,2,5,3,2,3,11,19.12.21 12:15,11,3,"4,66666666666667",20
9,9774,4,13,8,4,6,46,19.12.21 12:15,46,6,"17,3333333333333",20
